name,website,phone,categories,state,moved
"Advanced Pool & Spa, Key West",http://advancedpoolspakeywest.localsearch.com,(305) 766-0870,"Swimming Pool Repair & Service, Swimming Pool Management, Heating Equipment & Systems-Repairing",FL,False
Clear Pool Cleaning,http://clearpoolcleaning.localsearch.com,(941) 444-9718,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",FL,False
Blue Splash Pools,http://bluesplashpools.localsearch.com,(239) 634-7281,"Swimming Pool Repair & Service, Swimming Pool Management, Cleaning Contractors",FL,False
Santangelo Pool Cleaning,http://santangelopoolcleaning.localsearch.com,(239) 246-8986,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",FL,False
True Clean Pool Services LLC,http://truecleanpoolservicesllc.localsearch.com,(727) 831-2366,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",FL,False
All County Pool Services Inc,http://allcountypool.com,(352) 373-6069,"Swimming Pool Repair & Service, Swimming Pool Management, Cleaners Supplies",FL,False
The Pool Butler of Daytona Beach,http://www.daytonapoolservice.com,(386) 682-2234,"Swimming Pool Repair & Service, Swimming Pool Management, Leak Detecting Service",FL,False
Sebastian Pool & Patio,http://sebastiananimalhospital.com,(772) 388-3310,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",FL,False
Blue Horizons Pools & Spas Inc,http://www.bluehorizonspools.com,(407) 677-0539,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",FL,False
Crescent Pool Supplies Inc,http://www.crescentpoolsupply.com,(954) 987-1419,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",FL,False
Classic Marcite,https://classicmarcite.com,(407) 521-6260,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Equipment & Supplies",FL,False
Art-Co Paint & Pool Supply,http://www.orlandopoolsupply.com,(407) 644-6543,"Swimming Pool Repair & Service, Swimming Pool Management, Paint",FL,False
A Quality Pool Service,http://www.aqualitypoolserviceinc.com,(352) 246-1350,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Construction",FL,False
Clermont Pool & Spa,https://www.clermontpool.com,(352) 978-1205,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",FL,False
H2Oasis Custom Pools,http://h2oasiscustompools.localsearch.com,(352) 494-5986,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",FL,False
JS Pools Inc,http://jspoolsinc.localsearch.com,(754) 423-4488,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",FL,False
Springs Pool Service,http://springspoolservice.localsearch.com,(954) 531-3349,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",FL,False
Dun-Rite-Pools,http://www.dun-rite-pools.com,(561) 232-2998,"Swimming Pool Repair & Service, Swimming Pool Management, Swimming Pool Dealers",FL,False
